                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0058,                 2.1306,                 1.0897,                0.97913,                0.09981,                0.79351,                0.59243,                 0.8581,                 2.7901,                0.90589,             0.00054211,             0.00054211,             0.00054211
                      2,                0.96588,                 1.2485,                 1.0644,                0.73611,                0.51068,                0.67436,                0.45885,                 1.0224,                 2.2616,                 1.0883,              0.0010956,              0.0010956,              0.0010956
                      3,                0.96541,                 1.1814,                 1.0779,                0.72201,                0.81766,                0.81996,                0.61296,                0.92881,                 1.4617,                 1.0685,              0.0016469,              0.0016469,              0.0016469
                      4,                0.96419,                 1.0684,                 1.0732,                0.73073,                0.77102,                0.89606,                0.65436,                0.93316,                  1.495,                 1.0438,              0.0016571,              0.0016571,              0.0016571
                      5,                0.94789,                0.94852,                 1.0791,                 0.7502,                0.70093,                0.71864,                0.53324,                0.95378,                 1.8654,                 1.0807,              0.0016571,              0.0016571,              0.0016571
                      6,                0.94323,                0.93103,                 1.0674,                0.92499,                0.94225,                0.95146,                0.71984,                0.86649,                0.97094,                 1.0163,              0.0016538,              0.0016538,              0.0016538
                      7,                0.92167,                0.81957,                 1.0615,                0.89529,                0.91687,                0.94111,                0.69949,                0.91625,                0.83815,                 1.0448,              0.0016505,              0.0016505,              0.0016505
                      8,                0.89933,                0.76856,                 1.0594,                 0.9069,                0.92258,                  0.948,                0.71753,                0.88826,                0.74703,                 1.0212,              0.0016472,              0.0016472,              0.0016472
                      9,                0.90215,                 0.7167,                 1.0657,                0.90813,                0.94601,                 0.9481,                0.73445,                 0.8744,                0.74247,                 1.0323,              0.0016439,              0.0016439,              0.0016439
                     10,                0.90065,                0.72767,                 1.0523,                0.89814,                0.92278,                0.95109,                0.73925,                0.85313,                 0.6956,                 1.0132,              0.0016406,              0.0016406,              0.0016406
                     11,                0.91615,                0.70882,                 1.0572,                0.88766,                0.86745,                0.92202,                0.68048,                0.94229,                0.79572,                 1.0767,              0.0016373,              0.0016373,              0.0016373
                     12,                0.91201,                0.69102,                 1.0704,                0.91039,                0.93245,                0.95603,                0.75158,                0.83533,                0.64398,                 1.0125,               0.001634,               0.001634,               0.001634
                     13,                0.89134,                0.65416,                 1.0558,                0.89538,                0.96592,                0.95376,                0.74102,                0.80546,                0.61085,                 1.0018,              0.0016307,              0.0016307,              0.0016307
                     14,                0.87776,                0.60818,                 1.0459,                0.90606,                0.93818,                0.94905,                0.74102,                0.86513,                0.64636,                 1.0339,              0.0016274,              0.0016274,              0.0016274
                     15,                0.89404,                0.63331,                 1.0526,                0.92118,                0.94418,                0.96923,                 0.7693,                0.80553,                0.58242,                 0.9925,              0.0016241,              0.0016241,              0.0016241
                     16,                0.87705,                0.62048,                 1.0472,                0.88658,                 0.9592,                0.95728,                0.72677,                0.87037,                0.60249,                 1.0139,              0.0016208,              0.0016208,              0.0016208
                     17,                 0.8551,                0.59227,                 1.0299,                0.91026,                0.95665,                0.96045,                0.75552,                0.81359,                0.55604,                 1.0225,              0.0016175,              0.0016175,              0.0016175
                     18,                0.84782,                0.57857,                 1.0366,                0.88924,                0.95577,                0.95773,                0.74896,                0.84018,                 0.5885,                 1.0185,              0.0016142,              0.0016142,              0.0016142
                     19,                0.86713,                0.57322,                 1.0426,                0.92899,                 0.9264,                0.95686,                0.75513,                0.81996,                0.56791,                 1.0085,              0.0016109,              0.0016109,              0.0016109
                     20,                0.84518,                0.56413,                 1.0339,                 0.8793,                0.97454,                0.95077,                0.73369,                0.83954,                 0.5968,                 1.0279,              0.0016076,              0.0016076,              0.0016076
                     21,                0.82632,                0.54979,                 1.0214,                 0.9104,                0.96683,                  0.955,                0.74748,                0.80209,                0.55276,                 1.0022,              0.0016043,              0.0016043,              0.0016043
                     22,                0.84485,                0.55228,                 1.0193,                0.90355,                0.93299,                0.95099,                0.74585,                0.80033,                0.58366,                0.99234,               0.001601,               0.001601,               0.001601
                     23,                0.84507,                 0.5677,                 1.0365,                0.91814,                0.93774,                 0.9578,                0.75452,                0.81376,                0.57398,                 1.0069,              0.0015977,              0.0015977,              0.0015977
                     24,                0.84873,                0.55303,                 1.0257,                0.92121,                0.96347,                0.96002,                0.75815,                0.83842,                0.52336,                 1.0009,              0.0015944,              0.0015944,              0.0015944
                     25,                 0.8284,                0.51932,                 1.0218,                0.91547,                0.96146,                0.96079,                  0.766,                0.80932,                0.52262,                 1.0094,              0.0015911,              0.0015911,              0.0015911
                     26,                0.84653,                0.54484,                 1.0371,                0.90685,                0.96689,                0.94918,                0.75428,                0.78491,                 0.5293,                0.99751,              0.0015878,              0.0015878,              0.0015878
                     27,                 0.8324,                0.53772,                 1.0247,                0.90793,                0.94406,                0.95343,                0.74443,                0.81453,                0.53276,                0.99921,              0.0015845,              0.0015845,              0.0015845
                     28,                0.80815,                0.52112,                 1.0198,                0.88533,                0.97682,                0.96038,                 0.7603,                0.81604,                0.51653,                 1.0054,              0.0015812,              0.0015812,              0.0015812
                     29,                0.81391,                0.52957,                 1.0254,                0.90111,                0.96137,                0.96258,                0.75755,                0.80882,                0.51424,                0.99617,              0.0015779,              0.0015779,              0.0015779
                     30,                 0.8376,                0.51986,                 1.0338,                0.92043,                0.94381,                0.95526,                0.76085,                0.81872,                0.58059,                 1.0121,              0.0015746,              0.0015746,              0.0015746
                     31,                0.85125,                0.52886,                 1.0462,                0.92049,                0.95723,                0.96347,                0.77803,                0.78142,                0.50141,                 1.0006,              0.0015713,              0.0015713,              0.0015713
                     32,                0.82082,                0.50953,                  1.025,                0.91991,                0.96986,                 0.9707,                0.77982,                0.76342,                0.45785,                0.98788,               0.001568,               0.001568,               0.001568
                     33,                0.80275,                0.50502,                 1.0114,                0.92858,                0.94763,                0.96872,                 0.7732,                 0.7938,                0.48852,                0.99183,              0.0015647,              0.0015647,              0.0015647
                     34,                0.80542,                0.50433,                 1.0163,                0.89781,                0.96224,                0.95169,                0.75936,                0.80229,                0.50852,                 1.0076,              0.0015614,              0.0015614,              0.0015614
                     35,                0.82977,                0.53191,                  1.031,                0.93331,                0.93754,                0.95819,                0.76634,                0.77777,                0.50596,                0.98414,              0.0015581,              0.0015581,              0.0015581
                     36,                 0.8168,                0.49946,                 1.0256,                0.91424,                0.96773,                 0.9649,                0.76596,                0.79293,                0.50984,                0.99252,              0.0015548,              0.0015548,              0.0015548
                     37,                0.80412,                0.50682,                 1.0158,                0.92444,                0.94335,                0.96297,                0.76821,                0.80483,                0.50224,                 1.0009,              0.0015515,              0.0015515,              0.0015515
                     38,                0.77319,                0.49337,                 1.0042,                0.92209,                  0.971,                0.96344,                0.77325,                 0.7898,                0.48783,                0.99766,              0.0015482,              0.0015482,              0.0015482
                     39,                0.79457,                0.48824,                 1.0077,                0.92735,                0.95256,                0.96562,                0.76802,                0.80915,                0.49968,                0.99994,              0.0015449,              0.0015449,              0.0015449
                     40,                0.81234,                0.51176,                 1.0174,                0.90654,                 0.9679,                0.95886,                0.77217,                  0.791,                0.49326,                0.99164,              0.0015416,              0.0015416,              0.0015416
                     41,                0.78638,                0.48475,                  1.003,                0.90227,                0.96325,                0.95895,                0.76956,                0.79896,                0.47931,                 0.9971,              0.0015383,              0.0015383,              0.0015383
                     42,                0.78601,                0.47484,                 1.0031,                0.91839,                0.94482,                0.96079,                0.76509,                0.81009,                0.53297,                 1.0049,               0.001535,               0.001535,               0.001535
                     43,                0.82981,                 0.4999,                 1.0268,                 0.9123,                0.96665,                0.96942,                 0.7877,                0.77321,                0.46314,                0.98553,              0.0015317,              0.0015317,              0.0015317
                     44,                0.79118,                0.48044,                 1.0042,                0.92511,                 0.9632,                0.96979,                0.77724,                0.78625,                0.47187,                0.98956,              0.0015284,              0.0015284,              0.0015284
                     45,                0.78883,                0.47292,                 1.0101,                 0.9129,                  0.971,                0.96219,                0.78107,                0.76189,                0.46894,                0.98542,              0.0015251,              0.0015251,              0.0015251
                     46,                0.78112,                0.48365,                  1.001,                0.91578,                0.95133,                0.95781,                0.76078,                0.79262,                0.49799,                0.99926,              0.0015218,              0.0015218,              0.0015218
                     47,                0.77354,                0.48544,                 1.0079,                0.88918,                0.96665,                 0.9552,                0.76807,                0.80407,                0.52111,                 1.0122,              0.0015185,              0.0015185,              0.0015185
                     48,                0.78601,                0.47321,                 1.0145,                0.91639,                0.94953,                0.96123,                0.78034,                0.76516,                0.48367,                0.98264,              0.0015152,              0.0015152,              0.0015152
                     49,                0.79327,                0.47313,                 1.0207,                0.91927,                0.93992,                0.96189,                0.78423,                0.76864,                0.49236,                0.98027,              0.0015119,              0.0015119,              0.0015119
                     50,                0.78149,                0.48348,                 1.0171,                0.90173,                0.95142,                0.94984,                0.75719,                0.79893,                0.52123,                0.99791,              0.0015086,              0.0015086,              0.0015086
                     51,                0.80443,                0.48263,                 1.0109,                0.91325,                 0.9507,                0.96502,                0.77888,                0.77692,                 0.5002,                0.98555,              0.0015053,              0.0015053,              0.0015053
                     52,                0.76167,                0.45803,                0.99303,                0.92209,                0.94127,                0.95596,                 0.7762,                0.78582,                0.48648,                0.99086,               0.001502,               0.001502,               0.001502
                     53,                0.76942,                0.45838,                0.99771,                0.92403,                0.95887,                0.96132,                0.76399,                0.79606,                0.46128,                 1.0158,              0.0014987,              0.0014987,              0.0014987
                     54,                0.76673,                0.45365,                 1.0022,                0.91257,                0.95831,                0.95937,                0.78344,                0.77235,                0.48363,                 0.9929,              0.0014954,              0.0014954,              0.0014954
                     55,                0.77718,                 0.4641,                 1.0071,                0.91028,                0.94381,                0.95539,                0.75044,                0.80863,                  0.581,                0.99835,              0.0014921,              0.0014921,              0.0014921
                     56,                0.75387,                  0.441,                0.99234,                0.93474,                0.93229,                0.95582,                0.77292,                0.77674,                0.48234,                0.99495,              0.0014888,              0.0014888,              0.0014888
                     57,                0.80031,                0.47008,                 1.0236,                0.91371,                0.95609,                 0.9644,                0.77909,                0.76201,                 0.4669,                0.97567,              0.0014855,              0.0014855,              0.0014855
                     58,                0.76524,                0.45145,                 1.0028,                0.91442,                0.97608,                0.96378,                0.77878,                0.75181,                0.47765,                0.97865,              0.0014822,              0.0014822,              0.0014822
                     59,                0.78637,                0.46873,                 1.0063,                0.94314,                0.93501,                0.95972,                 0.7692,                 0.7851,                0.47452,                0.99317,              0.0014789,              0.0014789,              0.0014789
                     60,                0.78384,                0.46421,                 1.0074,                0.90986,                 0.9724,                0.96042,                0.75578,                0.82166,                0.48737,                 1.0045,              0.0014756,              0.0014756,              0.0014756
                     61,                0.75648,                0.44837,                0.98953,                0.92249,                0.95577,                0.96118,                0.75968,                0.79757,                0.47082,                0.99197,              0.0014723,              0.0014723,              0.0014723
                     62,                0.76041,                0.45348,                0.99937,                0.91717,                0.95323,                 0.9589,                 0.7815,                 0.7563,                0.45751,                0.97507,               0.001469,               0.001469,               0.001469
                     63,                0.78025,                0.46636,                 1.0034,                0.92254,                0.95964,                0.96713,                0.79325,                0.74803,                0.44752,                0.97247,              0.0014657,              0.0014657,              0.0014657
                     64,                0.74908,                0.44261,                0.98219,                0.91288,                0.96165,                0.96017,                0.78343,                0.75744,                0.44985,                0.97564,              0.0014624,              0.0014624,              0.0014624
                     65,                0.73495,                0.44106,                0.98185,                0.90708,                0.96158,                0.96869,                0.78983,                 0.7659,                0.46782,                0.98475,              0.0014591,              0.0014591,              0.0014591
                     66,                0.75966,                0.47274,                 1.0044,                0.91007,                0.93261,                0.95546,                0.77039,                0.80717,                0.53549,                0.99974,              0.0014558,              0.0014558,              0.0014558
                     67,                0.75684,                0.45035,                0.99366,                0.91565,                0.94997,                  0.962,                0.77663,                0.77868,                0.50164,                0.99652,              0.0014525,              0.0014525,              0.0014525
                     68,                0.74929,                 0.4389,                0.99507,                  0.918,                0.95451,                0.95766,                0.77515,                0.79112,                0.47647,                0.99477,              0.0014492,              0.0014492,              0.0014492
                     69,                0.74304,                0.43365,                0.99167,                0.92563,                 0.9511,                0.95634,                0.77328,                0.77654,                0.46318,                0.98636,              0.0014459,              0.0014459,              0.0014459
                     70,                0.77468,                0.43708,                 0.9944,                0.94887,                0.93374,                0.96799,                0.78923,                0.77106,                0.46248,                0.98619,              0.0014426,              0.0014426,              0.0014426
                     71,                0.74554,                0.44907,                 0.9878,                0.91342,                0.96411,                0.96079,                0.76473,                0.79689,                0.45792,                0.99862,              0.0014393,              0.0014393,              0.0014393
                     72,                0.75671,                0.43612,                 1.0019,                0.91958,                0.94116,                0.96022,                0.77852,                0.80985,                0.48475,                 0.9984,               0.001436,               0.001436,               0.001436
                     73,                0.75955,                0.45098,                0.99402,                0.92847,                  0.962,                0.96966,                0.78331,                0.77524,                0.45698,                0.98748,              0.0014327,              0.0014327,              0.0014327
                     74,                0.72517,                0.43236,                0.98336,                0.90171,                0.95207,                0.96334,                0.77574,                0.78374,                 0.5058,                0.99925,              0.0014294,              0.0014294,              0.0014294
                     75,                0.73066,                0.43294,                0.98635,                0.90381,                0.96411,                0.95734,                 0.7782,                0.78468,                 0.4889,                 1.0001,              0.0014261,              0.0014261,              0.0014261
                     76,                0.74664,                0.42706,                0.98936,                0.90397,                0.95396,                 0.9582,                0.78349,                0.77138,                0.46391,                0.98363,              0.0014228,              0.0014228,              0.0014228
                     77,                0.74145,                0.43824,                0.99578,                0.91489,                0.95344,                0.96151,                0.77908,                0.79585,                0.47512,                  1.005,              0.0014195,              0.0014195,              0.0014195
                     78,                0.74072,                0.42654,                0.98353,                0.92648,                0.94054,                0.96204,                0.78944,                0.75957,                0.47049,                0.97581,              0.0014161,              0.0014161,              0.0014161
                     79,                0.75078,                0.44342,                0.99129,                0.93236,                0.95323,                0.96433,                0.79299,                0.78186,                 0.4506,                0.99943,              0.0014128,              0.0014128,              0.0014128
                     80,                0.73605,                0.42528,                0.98847,                0.90664,                0.96339,                0.96011,                0.78639,                0.77609,                0.46227,                0.98898,              0.0014095,              0.0014095,              0.0014095
                     81,                0.72489,                0.41773,                0.98024,                0.91741,                0.95014,                0.95936,                0.78389,                0.77254,                0.45459,                0.98775,              0.0014062,              0.0014062,              0.0014062
                     82,                0.73257,                0.41883,                0.97949,                0.91463,                 0.9527,                0.95838,                0.78179,                0.77439,                0.45653,                0.99666,              0.0014029,              0.0014029,              0.0014029
                     83,                0.72703,                0.43642,                0.97921,                0.94715,                0.92264,                0.96186,                0.77121,                 0.7843,                0.44807,                 1.0016,              0.0013996,              0.0013996,              0.0013996
                     84,                0.73194,                0.42573,                0.98484,                0.92825,                0.95063,                0.96313,                0.78509,                0.76496,                0.44033,                0.99218,              0.0013963,              0.0013963,              0.0013963
                     85,                 0.7453,                0.42236,                 0.9904,                0.93374,                0.94854,                0.96723,                0.79483,                0.76051,                0.45603,                0.98999,               0.001393,               0.001393,               0.001393
                     86,                0.73933,                 0.4295,                 0.9793,                0.93843,                0.96031,                0.96783,                0.79158,                0.75375,                0.43712,                0.98894,              0.0013897,              0.0013897,              0.0013897
                     87,                0.74041,                0.42544,                0.98011,                0.91738,                0.97246,                0.96603,                0.79334,                0.77182,                0.42578,                 0.9896,              0.0013864,              0.0013864,              0.0013864
                     88,                0.71893,                0.41982,                0.97358,                0.95013,                0.93124,                 0.9578,                0.78299,                0.77856,                0.45085,                0.98295,              0.0013831,              0.0013831,              0.0013831
                     89,                0.73684,                0.41941,                0.98335,                0.93388,                0.93439,                0.95749,                0.77406,                  0.783,                0.46286,                0.99125,              0.0013798,              0.0013798,              0.0013798
                     90,                0.73268,                0.42242,                0.97535,                0.91895,                0.95831,                0.96487,                 0.7845,                0.77865,                0.45074,                0.99296,              0.0013765,              0.0013765,              0.0013765
                     91,                0.72787,                0.41481,                0.97519,                0.92255,                0.96817,                0.96323,                0.77882,                0.76319,                0.44325,                0.98932,              0.0013732,              0.0013732,              0.0013732
                     92,                0.70238,                0.41011,                0.97119,                0.93077,                0.94889,                0.96217,                0.78691,                0.77154,                0.45637,                0.98813,              0.0013699,              0.0013699,              0.0013699
                     93,                0.73912,                0.43093,                0.99491,                0.92622,                 0.9507,                0.96337,                0.77729,                0.78405,                0.44286,                0.98245,              0.0013666,              0.0013666,              0.0013666
                     94,                0.72076,                0.41751,                0.97887,                0.91577,                0.96081,                0.96168,                0.78463,                0.76399,                0.45897,                0.97355,              0.0013633,              0.0013633,              0.0013633
                     95,                0.71976,                0.41794,                 0.9746,                0.92928,                0.95583,                0.96748,                0.79322,                0.76223,                 0.4211,                0.97533,                0.00136,                0.00136,                0.00136
                     96,                0.71395,                0.41135,                0.96902,                0.92994,                0.95478,                 0.9636,                0.78615,                0.75742,                0.44305,                0.98116,              0.0013567,              0.0013567,              0.0013567
